Seq, fpogx, fpogy, fpogd, s
27,0.8406,0.89253,1,5
27,0.10161,0.48295,1,2
27,0.10291,0.52925,0,3
27,0.09765,0.45065,0,2
28,0.20769,0.25792,2,6
28,0.27794,0.24245,1,0
28,0.27396,0.25192,0,6
28,0.25057,0.29009,0,1
28,0.26878,0.25134,1,6
28,0.27395,0.24229,0,0
28,0.32891,0.25559,1,6
28,0.25446,0.24415,0,0
28,0.28729,0.26421,2,6
28,0.21457,0.37639,0,1
28,0.18269,0.40683,0,2
28,0.09023,0.45747,1,2
28,0.07638,0.37355,0,1
28,0.06717,0.45421,0,2
28,0.0933,0.62096,0,3
28,0.09343,0.62858,0,4
28,0.15591,0.59967,2,3
28,0.08773,0.39014,0,1
28,0.07837,0.43153,2,2
28,0.08738,0.71369,2,4
28,0.83947,0.89004,1,5
28,0.09024,0.40016,1,2
29,0.15391,0.30595,2,1
29,0.21055,0.23741,1,0
29,0.2635,0.25733,2,6
29,0.28029,0.28895,0,1
29,0.30304,0.25939,1,6
29,0.29405,0.22082,1,0
29,0.14627,0.30493,2,1
29,0.1544,0.28329,0,6
29,0.16665,0.28642,2,1
29,0.2111,0.26117,2,6
29,0.23908,0.24289,0,0
29,0.26329,0.24721,0,6
29,0.34162,0.23754,1,0
29,0.36213,0.24954,1,6
29,0.31391,0.22983,0,0
29,0.22854,0.27841,0,6
29,0.07556,0.38485,1,1
29,0.06227,0.49314,1,2
29,0.06606,0.56952,1,3
29,0.07076,0.68084,2,4
29,0.08442,0.55503,2,3
29,0.07889,0.50071,1,2
29,0.10981,0.61144,1,3
29,0.81644,0.90275,1,5
29,0.147,0.53075,1,3
29,0.17352,0.29827,0,1
29,0.20608,0.26109,1,6
29,0.16141,0.35848,0,1
29,0.06248,0.58122,2,3
29,0.10507,0.40148,0,2
29,0.20441,0.3281,2,1
30,0.10775,0.40328,1,2
30,0.13128,0.35924,1,1
30,0.15737,0.38948,1,1
30,0.16842,0.39482,2,2
30,0.17067,0.39154,0,1
30,0.21395,0.40527,1,2
30,0.23012,0.38702,1,1
30,0.22675,0.39596,1,2
30,0.21123,0.3922,0,6
30,0.1083,0.39592,0,2
30,0.1098,0.39071,0,1
30,0.12851,0.39488,2,2
30,0.17753,0.39124,0,1
30,0.21784,0.40559,2,2
30,0.22195,0.38753,0,1
30,0.20022,0.4168,1,2
30,0.11141,0.51009,2,3
30,0.15118,0.49221,2,2
30,0.24217,0.51556,2,3
30,0.24665,0.5046,0,2
30,0.21967,0.52602,0,3
30,0.07923,0.62801,0,4
30,0.08085,0.5184,2,3
30,0.08431,0.50469,0,2
30,0.08416,0.58733,1,3
30,0.08879,0.63213,0,4
30,0.11349,0.51806,2,3
30,0.20532,0.50223,1,2
30,0.22559,0.5136,1,3
30,0.2283,0.49808,1,2
30,0.12584,0.68934,2,4
30,0.15311,0.60391,0,3
30,0.828,0.91003,2,5
31,0.14466,0.29669,1,1
31,0.14993,0.24122,0,0
31,0.14555,0.24821,1,6
31,0.14474,0.23842,1,0
31,0.14559,0.25514,0,6
31,0.25321,0.29163,0,1
31,0.3327,0.27553,2,6
31,0.21815,0.3452,0,1
31,0.09413,0.42361,2,2
31,0.14957,0.29168,1,1
31,0.16216,0.2769,2,6
31,0.08968,0.53784,2,3
31,0.07836,0.73857,2,4
31,0.07669,0.7411,1,6
31,0.07622,0.72662,1,4
31,0.08211,0.38694,0,1
31,0.1069,0.43112,2,2
31,0.77749,0.8558,0,6
31,0.79995,0.88261,1,5
31,0.71257,0.79674,0,6
31,0.14805,0.29527,0,1
31,0.14029,0.28338,0,6
32,0.13997,0.28916,1,1
32,0.13414,0.26712,2,6
32,0.11093,0.23477,2,0
32,0.19415,0.3152,2,1
32,0.21461,0.26663,0,6
32,0.18901,0.28854,1,1
32,0.2821,0.25616,2,6
32,0.21624,0.23922,0,0
32,0.17863,0.2639,0,6
32,0.11209,0.2435,0,0
32,0.121,0.28288,1,6
32,0.11014,0.29355,1,1
32,0.14635,0.28114,1,6
32,0.24263,0.2874,1,1
32,0.2708,0.2723,1,6
32,0.36497,0.24088,1,0
32,0.10111,0.40185,2,2
32,0.23784,0.28824,1,1
32,0.26433,0.28042,1,6
32,0.23517,0.30926,0,1
32,0.11861,0.41711,2,2
32,0.08044,0.6025,1,3
32,0.08423,0.69979,1,4
32,0.07878,0.74328,0,6
32,0.05905,0.70462,2,4
32,0.17327,0.37977,0,1
32,0.30057,0.46734,0,2
32,0.84435,0.89463,2,5
32,0.15817,0.29819,2,1
33,0.19292,0.27274,0,6
33,0.2717,0.29159,2,1
33,0.38045,0.27382,2,6
33,0.38515,0.23691,0,0
33,0.28322,0.25034,2,6
33,0.28049,0.24418,0,0
33,0.26426,0.26149,2,6
33,0.25189,0.2899,0,1
33,0.32809,0.27927,2,6
33,0.09036,0.50475,1,2
33,0.09313,0.61869,1,3
33,0.08828,0.69586,0,4
33,0.08677,0.74345,0,6
33,0.09935,0.74459,1,6
33,0.10151,0.72762,1,4
33,0.09638,0.47909,2,2
33,0.82286,0.89203,2,5
